id,date,user,pc,activity
EVT-0000001,01/02/2023 08:27:52,U0001,PC-0160,Logon
EVT-0000002,01/02/2023 10:31:58,U0001,PC-0160,Logoff
EVT-0000003,01/02/2023 08:21:35,U0001,PC-0160,Logon
EVT-0000004,01/02/2023 16:05:20,U0001,PC-0160,Logoff
EVT-0000005,01/02/2023 10:02:06,U0002,PC-0004,Logon
EVT-0000006,01/02/2023 11:56:34,U0002,PC-0004,Logoff
EVT-0000007,01/02/2023 08:59:54,U0002,PC-0004,Logon
EVT-0000008,01/02/2023 12:41:18,U0002,PC-0004,Logoff
EVT-0000009,01/02/2023 09:08:56,U0003,PC-0293,Logon
EVT-0000010,01/02/2023 16:04:04,U0003,PC-0293,Logoff
EVT-0000011,01/02/2023 10:17:05,U0003,PC-0293,Logon
EVT-0000012,01/02/2023 18:11:31,U0003,PC-0293,Logoff
EVT-0000013,01/02/2023 08:57:41,U0003,PC-0293,Logon
EVT-0000014,01/02/2023 14:53:24,U0003,PC-0293,Logoff
EVT-0000015,01/02/2023 07:44:48,U0003,PC-0293,Logon
EVT-0000016,01/02/2023 12:46:55,U0003,PC-0293,Logoff
EVT-0000017,01/02/2023 10:08:37,U0004,PC-0051,Logon
EVT-0000018,01/02/2023 14:09:32,U0004,PC-0051,Logoff
EVT-0000019,01/02/2023 08:55:27,U0005,PC-0039,Logon
EVT-0000020,01/02/2023 13:46:04,U0005,PC-0039,Logoff
EVT-0000021,01/02/2023 07:05:46,U0005,PC-0039,Logon
EVT-0000022,01/02/2023 11:17:51,U0005,PC-0039,Logoff
EVT-0000023,01/02/2023 09:19:08,U0005,PC-0039,Logon
EVT-0000024,01/02/2023 14:28:30,U0005,PC-0039,Logoff
EVT-0000025,01/02/2023 09:41:43,U0005,PC-0039,Logon
EVT-0000026,01/02/2023 10:11:43,U0005,PC-0039,Logoff
EVT-0000027,01/02/2023 08:41:10,U0005,PC-0039,Logon
EVT-0000028,01/02/2023 12:38:11,U0005,PC-0039,Logoff
EVT-0000029,01/02/2023 09:43:28,U0006,PC-0195,Logon
EVT-0000030,01/02/2023 15:24:05,U0006,PC-0195,Logoff
